articleIndex,articleTitle,text
158,Law No. (1) of 1994 Concerning Court Fees and its amendments;,Law No. (1) of 1994 Concerning Court Fees and its amendments;
221,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"9191

Real Property will include, without limitation: 

a. structural components of the Jointly Owned Real Property, including the main 

supports, foundations, columns, structural walls, thresholds, ceilings, ceiling 

joists, halls, staircases, stairwells, emergency exits, entrances, windows in the 

external wall, facades and roofs; 

b. parking areas, watchman rooms, recreational facilities and equipment, swimming 

pools, gardens, storage facilities and areas intended for the use of the Owners 

Association or whomever it appoints or contracts to manage the Jointly Owned 

Real Property; 

c. equipment and systems of main utilities, including electricity generators, lighting 

systems, gas systems and equipment, cold and hot water systems, heating and 

cooling systems, air conditioning systems and waste collection and treatment facilities; 

d. elevators, tanks, pipes, generators, chimneys, ventilation fans and ducts, air 

compressor units and mechanical ventilation systems; 

e. water mains, sewer pipes, gas pipes and chimneys, and electrical wiring and 

conduits serving the Owners of more than one Unit; 

f. 

fittings, connections, equipment and amenities used by Owners of more than 

one Unit; 

g. equipment used for measuring the provision or supply of Utility Services; and

h. any other parts outside the boundaries of any Unit which are necessary or 

required for the existence, maintenance and safety of the real property. 

2. Unless otherwise indicated on the Site Plan, the Common Areas of a Jointly Owned 

Real Property comprising land rather than a building or part of a building, will 

include, without limitation: 

a. 

roads, roundabouts, intersections, pathways, pavement edges, drains, median 

strips, viaducts, drainage systems, and all related structures; 

b. 

lakes, ponds, canals, parks, fountains, water features and other waterways, 

including all related equipment; 

c. 

landscaping, public areas and playgrounds; 

d. wires, cables, pipes, drains, ducts and the machinery and equipment used to 

supply Units or Common Areas with Utility Services; and

9292

e. equipment used for measuring the provision or supply of Utility Services 

dedicated for common use by the Owners and Occupiers of Units."
341,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"The Division will review the application and may, within seven (7) days from the date of 

submission thereof, request the applicant, in writing, to provide any required additional 

documents or information."
261,Law and any amendments thereto will be registered with RERA. Judicial authorities and,"Unless otherwise agreed, the Rent will cover use of the Real Property amenities such as 

swimming pools, playgrounds, gymnasiums, health clubs, car parks, and other amenities."
183,Decree No. (2) of 1993 Establishing a Special Tribunal for the Settlement of Disputes,"For the purposes of renewing the Tenancy Contract, the Landlord and Tenant may, prior 

to the expiry of the Tenancy Contract, amend any of the terms of the Tenancy Contract or 

review the Rent, whether increasing or decreasing it. Should the Landlord and Tenant fail 

to reach an agreement, then the Tribunal may determine the fair Rent, taking into account 

the criteria stipulated in"
386,Law No. (7) of 1997 Concerning Land Registration Fees; and,149149
289,Law and any amendments thereto will be registered with RERA. Judicial authorities and,"This Law will be published in the Official Gazette and will come into force after sixty (60) 

days from the date of publication. 

Mohammed bin Rashid Al Maktoum 
Ruler of Dubai

Issued in Dubai on 26 November 2007 

Corresponding to 16 Thu- al-Qidah 1428 A.H.

112112

Law No. (16) of 2007 

Establishing the Real Estate 
Regulatory Agency

113113

Law No. (16) of 2007 

Establishing the Real Estate Regulatory Agency (1)

We, Mohammed bin Rashid Al Maktoum, Ruler of Dubai,

After perusal of:"
36,Law No. (27) of 2006 and its amendments will apply to these employees.,"This Law comes into force on the day on which it is issued, and will be published in the 

Official Gazette. 

Mohammed bin Rashid Al Maktoum
Ruler of Dubai

Issued in Dubai on 18 September 2013

Corresponding to 13 Thu al-Qidah 1434 A.H.

1515

Decree No. (43) of 2013

Determining Rent Increases for Real 
Property in the Emirate of Dubai

1717

Decree No. (43) of 2013

Determining Rent Increases for Real Property

in the Emirate of Dubai (1)

We, Mohammed bin Rashid Al Maktoum, Ruler of Dubai,

After perusal of:"
178,Decree No. (2) of 1993 Establishing a Special Tribunal for the Settlement of Disputes,"Articles (2), (3), (4), (9), (13), (14), (15), (25), (26), (29), and (36) of Law No. (26) of 2007 

Regulating the Relationship between Landlords and Tenants in the Emirate of Dubai will 

be superseded by the following provisions:"
318,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"An Escrow Agent must retain five percent (5%) of the total value of each Escrow 

Account once the Developer obtains the completion certificate. The retained amount 

will be released to the Developer one (1) year from the registration of Units in the name 

of purchasers.

124124"
331,Law; or,"This Regulation will be published in the Official Gazette and will come into force on the 

day on which it is published.

Mohammed bin Rashid Al Maktoum 
Ruler of Dubai

Issued in Dubai on 7 June 2006

Corresponding to 11 Jumada al-Ula 1427 A.H.

132132

Bylaw No. (85) of 2006

Regulating the Real Estate Brokers 
Register in the Emirate of Dubai

133133

Bylaw No. (85) of 2006

Regulating the Real Estate Brokers 

Register in the Emirate of Dubai (1)

The Chairman of the Land Department,

After perusal of:"
119,Law No. (8) of 2007 Concerning Escrow Accounts of Real Estate Development in the,"Law No. (8) of 2007 Concerning Escrow Accounts of Real Estate Development in the 

Emirate of Dubai;"
411,Law No. (7) of 1997 Concerning Land Registration Fees; and,"Provisions of Federal Law No. (5) of 1985 Issuing the Civil Code and its amendments will 

apply to all matters not provided for in this Law."
279,Law and any amendments thereto will be registered with RERA. Judicial authorities and,"Transferring the ownership of Real Property to a new owner does not affect the Tenant’s 

right to continue to occupy the Real Property by virtue of the Lease Contract entered into 

with the previous owner, provided that such Lease Contract has a fixed term."
190,Decree No. (2) of 1993 Establishing a Special Tribunal for the Settlement of Disputes,"of this Law, the Landlord may not rent the Real Property to 

a third party before the lapse of at least two (2) years from the date of possession of the 

Real Property by the Landlord in case of residential Real Property and three (3) years in 

case of non-residential Real Property, unless the Tribunal, in its discretion, sets a shorter 

period. Otherwise, the Tenant may request the Tribunal to award him a fair compensation."
379,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"Real Estate Brokers who are practising at the time this Bylaw is issued must, within 

six (6) months of the day on which it is issued, comply with the provisions hereof. The 

Chairman may extend this period by up to three (3) months if there are reasons that justify 

such extension."
152,Law No. (13) of 2008 Regulating the Interim Property Register in the Emirate of Dubai and,"In any case in which RERA cancels a project, it must:

1. prepare a technical report justifying such cancellation;

2. notify the developer in writing, by registered mail or electronic mail, of the 

cancellation decision;

3. appoint a certified auditor at the cost of the developer to review the financial position 

of the project and verify the amounts paid to the developer or deposited in the 

escrow account of the development project, as well as the expenditures; and

4. 

request the escrow agent of the project or the developer, if payments are made 

otherwise than through the escrow account, to refund the amounts deposited in the 

escrow account or paid to the developer to the relevant parties no later than fourteen 

(14) days from the date of such cancellation."
139,Law No. (13) of 2008 Regulating the Interim Property Register in the Emirate of Dubai and,For the purposes of application of
88,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;
59,Decree No. (2) of 1993.,"a. The Centre will have the exclusive jurisdiction to:

1. determine all Rent Disputes that arise between landlords and tenants of real 

property situated in the Emirate or in free zones, including counterclaims arising 

therefrom, as well as determine applications for interim or urgent relief filed by 

any of the parties to a lease contract;

2. determine appeals from the decisions and judgments that are subject to appeal 

in accordance with the provisions of this Decree and the regulations and 

resolutions issued in pursuance thereof; and

3. enforce the decisions and judgments issued by the Centre in the Rent Disputes 

that fall within its jurisdiction.

b. The Centre will have no jurisdiction to hear the following Rent Disputes:

1. Rent Disputes that arise within the free zones which have tribunals or special courts 

having jurisdiction to determine the Rent Disputes that arise within their boundaries; 

2. Rent Disputes that arise from a lease finance contract; and

2424

3. disputes that arise from long-term lease contracts covered by the above 

mentioned Law No. (7) of 2006. 

Organisational Structure of the Centre"
20,Law No. (27) of 2007 Concerning Ownership of Jointly Owned Real Property in the,"Law No. (27) of 2007 Concerning Ownership of Jointly Owned Real Property in the 

Emirate of Dubai; and"
79,Decree No. (2) of 1993.,"The chairman of the Council will issue regulations concerning the financial remuneration 

that may be paid to chairs and members of Tribunals.

3131

Automation and Use of Technology"
272,Law and any amendments thereto will be registered with RERA. Judicial authorities and,"Upon the expiry of the term of the Lease Contract, the Tenant must surrender 

possession of the Real Property to the Landlord in the same condition in which the 

Tenant received it at the time of entering into the Lease Contract except for ordinary 

wear and tear or for damage due to reasons beyond the Tenant’s control. In the event 

of dispute between the two parties, the matter must be referred to the Tribunal to issue 

an award in this regard."
57,Decree No. (2) of 1993 Forming a Special Tribunal to Determine Disputes between,"a. The provisions of this Decree will apply to the Special Tribunal to Determine Disputes 

between Landlords and Tenants established by virtue of the above mentioned"
62,Decree No. (2) of 1993.,"A secretary general will be appointed to the Centre pursuant to a resolution issued by the 

director general of the Department to undertake the supervision of the administrative sector of 

the Centre and any other duties assigned or delegated to him by the chairman of the Centre.

Mediation and Conciliation Directorate"
297,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"Pursuant to this Law, the following functions of the Department will be transferred to RERA:

1. 

regulating the work of real estate brokerages and real estate brokers;

2. conducting real estate studies and research;

3. managing and regulating real estate development escrow accounts; and

4. 

regulating and supervising Owners Associations."
143,Law No. (13) of 2008 Regulating the Interim Property Register in the Emirate of Dubai and,"1. 

In the event of sale of the Real Property Unit by way of public auction in accordance 

with the provisions of"
405,Law No. (7) of 1997 Concerning Land Registration Fees; and,"Where two (2) Real Property Units merge and one of them is encumbered by a collateral 

right in rem while the other is not, the collateral right will extend to cover the entire new 

Real Property Unit without approval of the merger by the beneficiary of the collateral 

right in rem. However, where each of the two (2) Real Property Units is encumbered by 

an independent collateral right in rem, the merger must be approved by beneficiaries of 

such rights."
383,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"This Bylaw comes into force on the day on which it is signed and will be published in the 

Official Gazette.

Mohammed bin Khalifa Al Maktoum
Chairman of the Land Department

Issued in Dubai on 30 May 2006

Corresponding to 3 Jumada al-Ula 1427 A.H.

145145

Law No. (7) of 2006

Concerning Real Property 
Registration in the Emirate of Dubai

147147

Law No. (7) of 2006

Concerning Real Property Registration

in the Emirate of Dubai (1)

We, Mohammed bin Rashid Al Maktoum, Ruler of Dubai 

After perusal of:

Federal Law No. (5) of 1985 Issuing the Civil Code and its amendments;

Federal Law No. (11) of 1992 Issuing the Civil Procedure Law and its amendments;"
335,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"The following words and expressions, wherever mentioned in this Bylaw, will have the 

meaning indicated opposite each of them unless the context implies otherwise:

Emirate: 

The Emirate of Dubai. 

Department: 

The Land Department.

Chairman: 

The chairman of the Department. 

© 2014 The Government of Dubai Legal Affairs Department
(1) Every effort has been made to produce an accurate and complete English version of this legislation. However, 
for the purpose of its interpretation and application, reference must be made to the original Arabic text. In case of 
conflict the Arabic text will prevail.

134134

Director General: 

The director general of the Department.

Committee: 

The Permanent Real Estate Brokerage Committee.

Council: 

Division: 

The body authorised to settle real estate brokerage disputes.

The Real Estate Brokerage Regulatory Division at the Department.

Competent Entities: Governmental 

or 

semi-governmental 

entities 

responsible 

for licensing. 

Real Property: 

Anything which is fixed and cannot be moved without damage or 

alteration of its sturcture.

Register: 

The electronic or paper record of Real Estate Brokers.

Roll: 

The roll containing the names of certified category A Real Estate 

Brokers prepared by the Committee. 

Real Estate Broker: Any person who undertakes the real estate brokerage business in 

accordance with this Bylaw.

Brokerage

 Agreement: 

An agreement whereby a Real Estate Broker undertakes to a client 

to find another party with whom to conclude a contract, and to 

represent the client in relevant negotiations for renumeration.

Person: 

Any natural or legal person.

2. General Provisions"
29,Law No. (9) of 2009 Regulating the Interim Real Property Register of the Emirate of Dubai,"The executive body of the Department will be comprised of a number of administrative 

and technical employees. The Government of Dubai Human Resources Management"
396,Law No. (7) of 1997 Concerning Land Registration Fees; and,"If the estate of a deceased contains Real Property Rights, a certificate of inheritance 

will be registered in the Property Register, and disposal by any heir of any such rights 

will not be effective or recognised against third parties unless also registered in the 

Property Register."
321,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"A Developer will be struck-off the Register where: 

1. he is declared bankrupt;

2. he fails, without an acceptable reason, to commence construction works after the 

lapse of six (6) months from the date on which he was granted permission to sell 

Units off-plan;

3. 

the licence granted to the Developer by the licensing entity is revoked;

4. he commits any of the violations stipulated in items 2, 3, 4 and 5 of"
114,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"Any provision in any other legislation will be repealed to the extent that it contradicts the 

provisions of this Decree.

Commencement and Publication"
370,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"The Council will not consider real estate brokerage disputes unless the Brokerage 

Agreement provides for the amicable settlement of disputes by the Department, or unless 

the disputants agree at a later stage to refer their disputes to the Department. Agreement 

on the amicable settlement of disputes must be in writing and the subject matter of the 

dispute must be determined in the amicable settlement agreement document."
121,Law No. (13) of 2008 Regulating the Interim Property Register in the Emirate of Dubai and,"Where a Master Developer or Sub-developer requests, within the period stipulated in 

paragraph (2) of"
384,Law No. (7) of 1997 Concerning Land Registration Fees; and,"This Law will be cited as “Law No. (7) of 2006 Concerning Real Property Registration 

in the Emirate of Dubai”."
170,Law No. (16) of 2007 Establishing the Real Estate Regulatory Agency; and,Law No. (16) of 2007 Establishing the Real Estate Regulatory Agency; and
353,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"Despite the fact that a Real Estate Broker represents only one of the parties to the 

transaction, he must faithfully disclose the transaction details and conditions he is 

aware of. The Real Estate Broker will be held responsible for any fraud or mistake he 

may commit."
141,Law No. (13) of 2008 Regulating the Interim Property Register in the Emirate of Dubai and,The developer must refund to the purchaser the amounts retained by him pursuant to
74,Decree No. (2) of 1993.,"The Chairman of the Centre will issue regulations concerning the procedures and rules 

to be adopted by the Centre in all matters relating to the registration, determination, 

and enforcement of claims and applications by the First Instance Division, the Appellate 

Division, the Mediation and Conciliation Directorate, or the Judgment Enforcement 

Directorate. Until such regulations are issued, the Centre may be guided by the provisions 

of the procedural rules adopted by the Special Tribunal to Determine Disputes between 

Landlords and Tenants.

3030

Enforcement of Judicial Judgments"
12,Law No. (16) of 2007 ............................................................................................................................................................. 113,"Law No. (16) of 2007 ............................................................................................................................................................. 113
Establishing the Real Estate Regulatory Agency"
181,Decree No. (2) of 1993 Establishing a Special Tribunal for the Settlement of Disputes,"1. The contractual relationship between Landlord and Tenant will be regulated by 

a Tenancy Contract detailing, in a manner allowing no room for uncertainty, a 

description of the leased Real Property, the purpose of the tenancy, the term of the 

Tenancy Contract, the Rent and payment method, and the name of the owner of the 

Real Property, if the Landlord is not the owner. 

2. All Tenancy Contracts or any amendments to such Tenancy Contracts related to Real 

Property which are subject to the provisions of this Law will be registered with RERA."
80,Decree No. (2) of 1993.,"The activities of the Centre in the judicial and administrative sectors will be 

automated to ensure simplification of procedure and expeditious determination 

of Rent Disputes.

Providing Support to the Centre"
150,Law No. (13) of 2008 Regulating the Interim Property Register in the Emirate of Dubai and,"of Law No. (8) of 

3. 

4. 

2007 Concerning Escrow Accounts of Real Estate Development in the Emirate of Dubai;

if it is proven to RERA that the developer has no intention of implementing the project;

if the land plot upon which the project is to be constructed is revoked due to a breach 

by the Sub-developer of any of his contractual obligations to the Master Developer;

5. 

if the land plot is substantially affected by the planning or re-planning projects 

implemented by the Competent Entities in the Emirate;

if the developer fails to implement the project due to gross negligence;

if the developer expresses his intention not to implement the project for reasons 

6. 

7. 

acceptable to RERA;

8. 

if the developer is declared bankrupt; or

9. any other circumstances determined by RERA."
153,Law No. (13) of 2008 Regulating the Interim Property Register in the Emirate of Dubai and,"If the funds in the escrow account of the project are insufficient to refund the purchasers 

the amounts paid by them, the developer must refund the amounts payable to those 

purchasers no later than sixty (60) days from the date of the decision cancelling the 

project, unless RERA determines to extend such period for valid reasons."
394,Law No. (7) of 1997 Concerning Land Registration Fees; and,"All transactions that create, transfer, amend, or extinguish Real Property Rights will be recorded 

in the Property Register. Likewise, final rulings validating such transactions will also be 

registered. Such transactions will not be deemed valid unless recorded in the Property Register. 

151151"
44,Decree No. (26) of 2013 Concerning the Rent Disputes Settlement Centre in the Emirate,For the purposes of application of
137,Law No. (13) of 2008 Regulating the Interim Property Register in the Emirate of Dubai and,"In any case where the purchaser breaches any of his obligations under the Real Property 

Unit sale agreement concluded between the purchaser and the developer:

a. The developer must serve a notice on the purchaser to fulfil his contractual obligations, 

either by appearing in person before the Department or in writing by registered mail or 

5656

email, in which case the developer must provide the Department with a copy of such notice.

b. The Department must give the purchaser a notice period of thirty (30) days to fulfil 

his contractual obligations, which will commence from the date on which the notice 

is served by the developer on the purchaser.

c. 

If the purchaser fails to fulfil his contractual obligations within the notice period set 

forth in paragraph (b) of this Article, the developer may:

1. where he has completed at least eighty percent (80%) of the project, retain all 

the amounts paid by the purchaser and either sell the property by way of public 

auction to recover the balance amounts payable to him, or terminate the agreement 

and retain a maximum of forty percent (40%) of the value of the Real Property Unit;

2. where he has completed at least sixty percent (60%) of the project, terminate 

the agreement and retain a maximum of forty percent (40%) of the value of the 

Real Property Unit set forth in the agreement;

3. where he has completed less than sixty percent (60%) of the project, terminate 

the agreement and retain a maximum of twenty five percent (25%) of the value 

of the Real Property Unit set forth in the agreement; and

4. where he has not commenced implementation of the project for circumstances 

beyond his control, terminate the agreement and retain a maximum of thirty 

percent (30%) of the amounts paid by the purchaser to the developer.

d. The developer may resort to the relevant competent court to seek a judgment entitling 

him to the percentages as prescribed in paragraph (c) of this Article where the 

amounts retained by the developer are less than the respective amounts provided 

for in sub-paragraphs (1), (2), (3) and (4) above."
250,Decree No. (2) of 1993 Establishing a Special Tribunal for the Settlement of Disputes,"Decree No. (2) of 1993 Establishing a Special Tribunal for the Settlement of Disputes 

between Landlords and Tenants; and"
243,Law comes into force will be deemed void.,"The Owners Association will procure insurance against liability for damage to the Jointly 

Owned Real Property and for the damage and bodily injury suffered by the Owners and 

Occupiers of Units."
269,Law and any amendments thereto will be registered with RERA. Judicial authorities and,"The Landlord must provide the Tenant with the approvals required to be submitted to 

the competent official entities in the Emirate whenever the Tenant wishes to carry out 

decoration works or any other works that require such approvals, provided that such 

works do not affect the structure of the Real Property and that the Tenant has the official 

documents requesting such approvals. 

Tenant’s Obligations"
77,Decree No. (2) of 1993.,"of this Decree, the decisions and judgments that 

were not enforced before the effective date of this Decree may be appealed within thirty 

(30) days from such effective date.

Fees"
392,Law No. (7) of 1997 Concerning Land Registration Fees; and,Subject to the provisions of
89,Law No. (27) of 2007 Concerning Ownership of Jointly Owned Real Property in the Emirate,"Law No. (27) of 2007 Concerning Ownership of Jointly Owned Real Property in the Emirate 

of Dubai;"
47,Law No. (3) of 1992 Establishing Dubai Courts and its amendments;,Law No. (3) of 1992 Establishing Dubai Courts and its amendments;
17,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;

The Government of Dubai Human Resources Management Law No. (27) of 2006 and 

its amendments;"
131,Law No. (13) of 2008 Regulating the Interim Property Register in the Emirate of Dubai and,"Unless otherwise agreed, the Master Developer or Sub-developer and the 

purchaser must pay the fees for registration of the legal disposition of a Real 

Property Unit as per their respective percentages prescribed in accordance with 

the applicable legislation."
19,Law No. (26) of 2007 Regulating the Relationship between Landlords and Tenants in the,"Law No. (26) of 2007 Regulating the Relationship between Landlords and Tenants in the 

Emirate of Dubai and its amendments;"
347,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"Each Real Estate Broker who is entered in the Register must apply to the Division for 

registration renewal on a yearly basis. The renewal application must be submitted to the 

Division on the relevant form at least thirty (30) days prior to expiry of the registration 

certificate. The Division must renew the registration of the Real Estate Broker in the 

Register after verifying compliance with the renewal requirements.

Chapter Three

Obligations of Real Estate Brokers"
388,Law No. (7) of 1997 Concerning Land Registration Fees; and,"Originals of documents and court rulings in accordance with which Real Property 

registration is made will be kept with the Department and may not be removed from its 

premises. Pursuant to the provisions of this Law, interested parties, judicial authorities, or 

experts and competent committees delegated by judicial authorities may have access to 

the documents kept on record and obtain an attested copy thereof. 

Chapter Four

Functions of the Department"
186,Decree No. (2) of 1993 Establishing a Special Tribunal for the Settlement of Disputes,"of this Law, that party must notify the other party 

of same no less than ninety (90) days prior to the date on which the Tenancy Contract expires."
232,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"1. The Owners Association will be deemed to be a non-profit entity and will have legal 

personality independent from its members. It may sue and be sued in its own name 

and may own movable property. 

2. The terms and conditions of this Law, the Master Community Declaration, and 

the Articles of Association of the Owners Association will apply to the Owners 

Association. The manager of the Owners Association will represent it before courts 

and other authorities."
387,Law No. (7) of 1997 Concerning Land Registration Fees; and,"The right to own Real Property in the Emirate will be restricted to UAE nationals, nationals 

of the Gulf Cooperation Council member states and to companies fully owned by these, 

and to public joint stock companies. Subject to the approval of the Ruler, non-UAE 

nationals may, in certain areas determined by the Ruler, be granted the following rights: 

a. Freehold ownership of Real Property without time restrictions; and

b. Usufruct or leasehold over Real Property for a period not exceeding ninety-nine 

(99) years. 

Chapter Three

General Provisions"
39,Law No. (26) of 2007 Regulating the Relationship between Landlords and Tenants in the,"Law No. (26) of 2007 Regulating the Relationship between Landlords and Tenants in the 

Emirate of Dubai and its amendments;"
175,Law No. (26) of 2007,"Law No. (26) of 2007

Regulating the Relationship between Landlords and Tenants

in the Emirate of Dubai (1) 

We, Mohammed bin Rashid Al Maktoum, Ruler of Dubai,

After perusal of:

Federal Law No. (5) of 1985 Issuing the Civil Code of the United Arab Emirates and 

its amendments;

Federal Law No. (10) of 1992 Issuing the Law of Evidence in Civil and Commercial 

Transactions and its amendments;"
108,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"The following words and expressions, wherever mentioned in this Decree, will have the 

meaning indicated opposite each of them unless the context implies otherwise:

Emirate: 

The Emirate of Dubai.

Government: 

The Government of Dubai.

Department: 

The Land Department.

© 2014 The Government of Dubai Legal Affairs Department
(1) Every effort has been made to produce an accurate and complete English version of this legislation. However, 
for the purpose of its interpretation and application, reference must be made to the original Arabic text. In case of 
conflict the Arabic text will prevail.

4848

Allotted Land 

Land for industrial or commercial use whose usufruct right is conferred 

upon UAE nationals, including:

1. land subject to an order of disposition; and

2. Allotted Land which is transferred to third parties by way of 

succession, assignment, donation, or in return for consideration. 

Beneficiary: 

A UAE national to whom land is allotted.

Grant of Title of Allotted Land"
66,Decree No. (2) of 1993.,"a. The First Instance Division will be comprised of a sufficient number of Tribunals, each of 

which is formed of a chair and two (2) competent and experienced members specialised 

2727

in law and real property. These Tribunals will have the jurisdiction to determine the Rent 

Disputes referred to in"
37,Law No. (9) of 2004 Concerning Dubai International Financial Centre and its amendments;,Law No. (9) of 2004 Concerning Dubai International Financial Centre and its amendments;
68,Decree No. (2) of 1993.,"The Appellate Division will be comprised of a sufficient number of Tribunals, each of 

which is formed of two (2) judges and one (1) experienced member specialised in 

real property. The chair of each Tribunal must be a judge. These Tribunals will have 

jurisdiction to determine the appeals from decisions and judgments issued by the First 

Instance Division. Judgments of the Appellate Division will be final and not subject to 

any form of appeal, and will be enforced in accordance with the procedures and rules 

adopted by the Centre.

Meetings of Tribunals"
330,Law; or,"Non-UAE nationals may acquire usufruct rights or leasehold rights for up to ninety-nine 

(99) years in plot no. (224) of the Nad al-Sheba area as highlighted by the Department in 

the map attached to this Regulation.

131131"
42,Decree No. (26) of 2013 Concerning the Rent Disputes Settlement Centre in the Emirate,"When renewing real property lease contracts, the maximum percentage of rent increase

for real property in the Emirate of Dubai will be as follows:

a. no rent increase, where the rent of the real property unit is up to ten percent (10%)

less than the average rental value of similar units; 

b. five percent (5%) of the rent of the real property unit, where the rent is eleven percent 

(11%) to twenty percent (20%) less than the average rental value of similar units;

© 2014 The Government of Dubai Legal Affairs Department
(1) Every effort has been made to produce an accurate and complete English version of this legislation. However,
for the purpose of its interpretation and application, reference must be made to the original Arabic text. In case of
conflict the Arabic text will prevail.

1818

c. 

ten percent (10%) of the rent of the real property unit, where the rent is twenty 

one percent (21%) to thirty percent (30%) less than the average rental value of 

similar units;

d. fifteen percent (15%) of the rent of the real property unit, where the rent is thirty one 

percent (31%) to forty percent (40%) less than the average rental value of similar 

units; or

e. 

twenty percent (20%) of the rent of the real property unit, where the rent is more than 

forty percent (40%) less than the average rental value of similar units. 

Scope of Application"
127,Law No. (13) of 2008 Regulating the Interim Property Register in the Emirate of Dubai and,"of 

this Resolution."
155,Law No. (13) of 2008 Regulating the Interim Property Register in the Emirate of Dubai and,"of this Resolution, RERA must take all necessary actions 

to secure the rights of purchasers, including referring the matter to the competent 

judicial authorities.

6161"
30,Law No. (27) of 2006 and its amendments will apply to these employees.,"a. Specialised entities working in areas related to regulating, conducting, and developing 

Real Property Activities in the Emirate may be affiliated with the Department.

b. The Department may, in accordance with its needs and the work requirements of its 

affiliated entities, propose redefining the goals and objectives, dissolution, or merger 

of these entities. These proposals will be submitted to the competent authorities 

for approval.

c. Affiliated entities of the Department will implement the adopted plans and policies, 

and will submit periodic reports to the Director General on their work and programmes 

as well as the statistics, studies, and information available to these affiliated entities.

Fees"
94,Decree No. (4) of 2010 Regulating Grant of Title of Land Allocated for Industrial and,"Decree No. (4) of 2010 Regulating Grant of Title of Land Allocated for Industrial and 

Commercial Use in the Emirate of Dubai; and"
110,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"Transfer of ownership of Allotted Land to the Beneficiary will be effected in accordance 

with the following procedure:

1. The Beneficiary submits to the Department an application for grant of title to the Allocated 

Land. The Department considers the application in coordination with other concerned 

entities in the Emirate where required, and makes the appropriate decision in this regard.

2. The Department follows the procedure for the grant of title to the Allotted Land to the 

Beneficiary, registers the land in his name in the Property Register, and issues the title deed 

upon payment by the Beneficiary of the transfer of ownership fee prescribed in this Decree.

Fees for Grant of Title"
167,Law No. (13) of 2008 Regulating the Interim Property Register in the Emirate of Dubai,"accordance with:

1. 

2. 

the laws in force in the Emirate of Dubai;

Islamic Sharia principles;

3. customs, provided that such customs are not in conflict with the law, and public 

order and morals; and

4. principles of natural justice, and rules of right and fairness."
35,Law No. (27) of 2006 and its amendments will apply to these employees.,"The Declaration issued on 24 January 1960 Establishing the Tabou (Land) Department 

and Law No. (7) of 1997 Concerning Land Registration Fees will be repealed. Any 

provision in any other legislation will also be repealed to the extent that it contradicts the 

provisions of this Law. 

Commencement and Publication"
348,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"All registered Real Estate Brokers must observe the code of conduct stipulated in the 

code professional ethics prepared by the Committee in consultation with qualified and 

expert Real Estate Brokers."
211,Law No. (27) of 2007 Concerning Jointly Owned Real Property in the Emirate of Dubai;,"The Chairman of the Executive Council will issue the regulations required for the 

implementation of the provisions of this Law."
112,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"a. Notwithstanding any other provision in any other legislation, the occupier of Allocated Land 

which has been transferred to him by a Beneficiary by way of sale may request that title to the 

Allocated Land be granted to him on a freehold basis and without any restriction on its use 

or exploitation.

b. The Department will grant title to the Allotted Land to the occupier of the Allotted Land upon 

reviewing his request, ensuring that the land is legally transferable to him, and ensuring that 

he has paid the ownership transfer fee of fifty percent (50%) of the market value of the land.

Issuing Implementing Resolutions"
355,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"A Real Estate Broker will be deemed the trustee of any amounts, securities, bonds, or any 

other items delivered to him by any of the parties for safekeeping or for delivery to the 

other party. The Real Estate Broker must deliver such items as agreed and will be bound 

by the relevant trusteeship rules."
397,Law No. (7) of 1997 Concerning Land Registration Fees; and,"The Department may, in accordance with procedures determined under a resolution 

of the Chairman of the Department, consider applications for registration submitted by 

Persons in possession of land that is not registered in their names in order to adjust the 

status of such land.

Chapter Seven

Variation or Correction of Property Register Data"
336,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"No Person may engage in Real Estate Brokerage activities in the Emirate unless he is 

licensed by the Competent Entities and entered in the Register."
